A,B,C,D,E,F,G,H,I,J,K,L
4,30,4,0,15,-6,25,31,1223,926.165,88.714,7
4,30,4,0,16,-6,25,31,210,67.632,8.222,3
4,0,4,0,4,-6,75,21,1172,357.842,42.808,6
4,0,4,0,5,-6,75,21,791,1196.191,87.577,6
4,0,4,0,6,-6,75,21,93,177.957,6.905,2
4,0,3,100,11,-6,50,31,500,799.662,40.961,5
4,0,3,100,12,-6,50,31,1229,1196.713,90.374,7
3,0,3,100,13,-6,50,31,143,89.191,5.517,3
1,0,3,100,11,-6,50,31,1036,387.297,28.656,5
2,0,3,100,12,-6,50,31,805,257.364,36.902,6
3,0,3,100,13,-6,50,31,104,126.626,5.79,2
4,0,3,0,14,-10,50,31,549,781.172,33.437,5
5,0,3,0,15,-10,50,31,1480,715.422,49.321,5
6,0,3,0,16,-10,50,31,182,131.643,7.023,4
4,0,3,0,4,-10,100,21,670,84.895,12.349,4
5,0,3,0,5,-10,100,21,626,63.178,12.481,5
6,0,3,0,6,-10,100,21,77,6.413,1.339,2
1,0,5,100,11,-6,75,21,499,292.172,59.123,5
2,0,5,100,12,-6,75,21,1269,746.269,64.521,5
3,0,5,100,13,-6,75,21,146,40.304,44.377,3
1,30,4,100,21,0,25,53,847,81.276,26.941,4
2,30,4,100,22,0,25,53,594,36.815,13.563,4
3,30,4,100,23,0,25,53,101,32.901,5.256,3
1,0,3,0,11,-10,50,31,515,510.025,21.116,4
2,0,3,0,12,-10,50,31,1339,686.932,29.854,5
3,0,3,0,13,-10,50,31,131,29.556,3.349,4
1,0,3,50,1,-6,100,21,653,381.434,35.3,4
2,0,3,50,2,-6,100,21,695,95.361,11.669,4
1,30,4,100,21,-1,25,53,53,12.475,1.767,2
2,30,4,100,22,-1,25,53,473,588.992,15.03,4
3,30,4,100,23,-1,25,53,1121,96.555,28.392,4
3,0,3,50,3,-6,100,21,93,26.537,3.403,4
1,0,3,0,1,-10,100,21,531,287.767,20.083,5
2,0,3,0,2,-10,100,21,782,135.112,16.392,5
1,30,3,100,21,-10,25,21,77,11.201,3.028,2
2,30,3,100,22,-10,25,53,397,231.8,18.408,4
3,30,3,100,23,-10,25,53,1088,131.013,18.807,5
3,0,3,0,3,-10,100,21,162,51.466,4.785,3
4,0,3,100,14,-6,50,31,620,171.846,33.64,5
5,0,3,100,15,-6,50,31,754,92.776,17.196,4
6,0,3,100,16,-6,50,31,185,191.473,13.034,4
4,0,3,100,4,-6,100,21,388,385.886,29.478,4
5,0,3,100,5,-6,100,21,970,101.415,24.484,6
6,0,3,100,6,-6,100,21,163,55.62,6.636,4
1,0,3,0,11,-10,50,31,856,610.027,48.504,6
2,0,3,0,12,-10,50,31,700,114.714,16.084,4
3,0,3,0,13,-10,50,31,142,119.09,9.669,4
1,30,3,100,21,-10,25,53,416,492.514,34.146,5
2,30,3,100,22,-10,25,53,1185,413.022,39.032,6
3,30,3,100,23,-10,25,53,168,63.411,7.189,4
1,0,3,0,1,-10,100,21,680,785.037,57.794,9
2,0,3,0,2,-10,100,21,666,642.644,32.629,6
3,0,3,0,3,-10,100,21,127,91.626,9.27,3
1,0,3,50,1,-6,100,21,442,909.864,55.297,8
2,0,3,50,2,-6,100,21,1198,230.842,38.434,6
1,30,4,100,21,-1,25,53,200,117.245,11.574,4
2,30,4,100,22,-1,25,53,454,348.411,49.313,9
3,30,4,100,23,-1,25,53,761,496.085,261.156,8
3,0,3,50,3,-6,100,21,106,57.821,22.843,3
4,0,4,0,14,-10,50,31,396,978.267,87.824,7
4,0,4,100,24,-10,25,53,1039,726.926,121.698,7
4,0,4,0,4,-10,75,21,227,260.274,19.036,5
1,30,3,55,11,-6,50,31,474,247.84,31.944,6
2,30,3,55,12,-6,50,31,770,809.638,136.98,7
3,30,3,55,13,-6,50,31,75,30.737,3.931,3
4,0,3,100,14,-10,50,31,484,778.288,94.223,7
5,0,3,100,15,-10,50,31,1355,292.022,60.286,7
6,0,3,100,16,-10,50,31,210,464.032,27.061,5
4,0,3,50,4,-10,100,21,659,500.771,64.883,7
5,0,3,50,5,-10,100,21,1045,960.474,89.827,8
6,0,3,50,6,-10,100,21,103,24.983,5.909,3
1,0,3,100,11,-10,50,31,597,726.831,73.371,6
2,0,3,100,12,-10,50,31,1265,662.789,87.56,8
3,0,3,100,13,-10,50,21,239,618.75,33.149,4
1,0,4,98,1,-6,50,21,777,1020.602,104.108,7
2,0,4,98,2,-6,50,21,790,635.695,427.089,8
1,0,4,100,21,-1,25,53,194,49.719,6.94,4
2,0,4,100,22,-1,25,53,609,417.616,49.412,5
3,0,4,100,23,-1,25,21,1341,841.135,102.637,9
3,0,4,98,3,-6,50,21,248,573.147,38.504,5
4,0,4,0,14,-6,50,31,752,803.228,81.776,7
5,0,4,0,15,-6,50,31,1028,392.485,46.868,7
6,0,4,0,16,-6,50,31,206,393.917,77.655,6
4,0,4,0,4,-6,100,21,411,456.253,50.133,6
5,0,4,0,5,-6,100,21,933,795.86,96.399,8
6,0,4,0,6,-6,100,21,204,339.681,22.14,5
1,0,3,100,11,-6,50,31,809,462.677,76.622,6
2,0,3,100,12,-6,50,21,1119,675.868,80.574,9
3,0,3,100,13,-6,50,31,167,117.479,15.773,5
1,0,3,100,11,-6,50,31,727,797.671,48.502,7
2,0,3,100,12,-6,50,31,1095,784.786,85.45,7
3,0,3,100,13,-6,50,31,239,125.528,12.913,4
1,10,4,0,11,-6,50,31,1039,334.271,54.735,9
2,0,4,0,12,-6,50,31,1125,1173.689,110.743,10
3,0,4,0,13,-6,50,21,177,53.313,6.807,3
1,30,4,100,11,-6,50,31,753,950.578,74.003,7
2,30,4,100,12,-6,50,31,1041,578.975,95.276,7
3,30,4,100,13,-6,50,31,194,96.27,24.296,4
4,10,4,0,14,-6,50,31,708,444.229,48.231,8
